,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
51,Jeff Sanders\sandeje01,25,CHH,NBA,1990-91,3,0,14.3,2,4.7,2,4.7,0,0,0.3,0.7,1,2,3,0.3,0.3,0.3,0.3,2,4.3,0.429,0.429,,0.429,0.5,0.437
52,Brian Shaw\shawbr01,24,BOS,NBA,1990-91,79,79,35.1,5.6,11.9,5.6,11.6,0,0.3,2.6,3.2,1.3,3.4,4.7,7.6,1.3,0.4,2.8,2.6,13.8,0.469,0.48,0.111,0.471,0.819,0.519
53,Charles Smith\smithch02,23,BOS,NBA,1990-91,5,0,6,0.6,1.4,0.6,1.4,0,0,0.6,1,0,0.4,0.4,1.2,0.2,0,0.6,1.4,1.8,0.429,0.429,,0.429,0.6,0.489
54,Clinton Smith\smithcl01,27,WSB,NBA,1990-91,5,0,9,0.4,0.8,0.4,0.8,0,0,0.6,1.2,0.4,0.4,0.8,0.8,0.2,0,0.2,0.6,1.4,0.5,0.5,,0.5,0.5,0.527
55,Michael Smith\smithmi01,25,BOS,NBA,1990-91,47,3,8.3,2,4.3,1.9,3.7,0.1,0.5,0.5,0.6,0.4,0.7,1.2,0.9,0.1,0,0.8,0.6,4.6,0.475,0.506,0.25,0.49,0.815,0.514
56,John Starks\starkjo01,25,NYK,NBA,1990-91,61,10,19.2,3,6.7,2.5,5.2,0.4,1.5,1.3,1.7,0.5,1.7,2.1,3.3,1,0.3,1.2,2.2,7.6,0.439,0.483,0.29,0.472,0.752,0.511
57,Everette Stephens\stephev01,24,MIL,NBA,1990-91,3,0,2,0.7,1,0.7,1,0,0,0.7,0.7,0,0,0,0.7,0,0,0,0,2,0.667,0.667,,0.667,1,0.773
58,Milt Wagner\wagnemi01,27,MIA,NBA,1990-91,13,1,8.9,1.8,4.4,1.4,3.1,0.5,1.3,0.7,0.8,0,0.5,0.5,1.2,0.2,0.2,0.9,1.1,4.8,0.421,0.45,0.353,0.474,0.818,0.509
59,Doug West\westdo01,23,MIN,NBA,1990-91,75,1,11,1.6,3.3,1.6,3.3,0,0,0.8,1.1,0.7,1.1,1.8,0.6,0.5,0.3,0.5,1.5,3.9,0.48,0.482,0,0.48,0.69,0.52
60,Randy White\whitera01,23,DAL,NBA,1990-91,79,29,24.1,3.4,8.4,3.3,7.9,0.1,0.5,2,2.8,2.2,4.2,6.4,0.8,1,0.6,1.7,3.9,8.8,0.398,0.412,0.162,0.403,0.707,0.455
61,David Wood\woodda01,26,HOU,NBA,1990-91,82,13,17.3,1.8,4.3,1.5,3.2,0.3,1.1,1.3,1.6,1.3,1.7,3,1.1,0.7,0.2,1.1,2.9,5.3,0.424,0.463,0.311,0.464,0.812,0.53
62,Haywoode Workman\workmha01,25,WSB,NBA,1990-91,73,56,27.9,3.2,7.1,3,6.4,0.2,0.7,1.4,1.8,0.7,2.6,3.3,4.8,1.2,0.1,1.8,2.2,8,0.454,0.477,0.24,0.466,0.759,0.507
63,Alaa Abdelnaby\abdelal01,23,POR,NBA,1991-92,71,1,13.2,2.5,5.1,2.5,5.1,0,0,1.1,1.4,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1,0.493,0.493,,0.493,0.752,0.533
64,Mahmoud Abdul-Rauf\abdulma02,22,DEN,NBA,1991-92,81,11,19,4.4,10.4,4,9.3,0.4,1.2,1.2,1.3,0.3,1.1,1.4,2.4,0.5,0,1.4,1.6,10.3,0.421,0.433,0.33,0.44,0.87,0.469
65,Rafael Addison\addisra01,27,NJN,NBA,1991-92,76,8,15.5,2.5,5.7,2.3,5,0.2,0.6,0.7,1,0.9,1.3,2.2,0.9,0.4,0.4,0.6,1.4,5.8,0.433,0.452,0.286,0.449,0.737,0.477
66,Keith Askins\askinke01,24,MIA,NBA,1991-92,59,4,14.3,1.4,3.5,1,2.2,0.4,1.2,0.4,0.6,1.1,1.3,2.4,0.6,0.7,0.3,0.8,1.8,3.7,0.41,0.447,0.342,0.471,0.703,0.495
67,Miloš Babić\babicmi01,23,MIA,NBA,1991-92,9,0,3.9,0.7,1.4,0.7,1.4,0,0,0.7,0.9,0.2,1,1.2,0.7,0.1,0,0.6,0,2,0.462,0.462,,0.462,0.75,0.545
68,Lance Blanks\blankla01,25,DET,NBA,1991-92,43,0,4.4,0.6,1.3,0.4,0.9,0.1,0.4,0.2,0.3,0.2,0.3,0.5,0.4,0.3,0,0.3,0.6,1.5,0.455,0.487,0.375,0.509,0.727,0.535
69,Anthony Bonner\bonnean01,23,SAC,NBA,1991-92,79,18,28.9,3.7,8.3,3.7,8.3,0,0.1,1.9,3.1,2.4,3.7,6.1,1.6,1.2,0.3,1.7,2.5,9.4,0.447,0.448,0.25,0.448,0.627,0.484
70,Dee Brown\brownde01,23,BOS,NBA,1991-92,31,20,28.5,4.8,11.3,4.6,10.6,0.2,0.7,1.9,2.5,0.5,2.1,2.5,5.3,1.1,0.2,1.9,2.4,11.7,0.426,0.439,0.227,0.433,0.769,0.472
71,Jud Buechler\buechju01,23,TOT,NBA,1991-92,28,0,10.4,1,2.5,1,2.5,0,0,0.4,0.8,0.6,1.2,1.9,0.8,0.7,0.3,0.5,1.1,2.5,0.408,0.414,0,0.408,0.571,0.436
72,Matt Bullard\bullama01,24,HOU,NBA,1991-92,80,7,16,2.6,5.6,1.8,3.5,0.8,2.1,0.5,0.6,0.9,1.9,2.8,0.9,0.3,0.3,0.7,1.6,6.4,0.459,0.502,0.386,0.53,0.76,0.546
73,Willie Burton\burtowi01,23,MIA,NBA,1991-92,68,50,23.3,4.1,9.1,4,8.9,0.1,0.2,2.9,3.6,1.1,2.5,3.6,1.8,0.7,0.5,1.8,2.7,11.2,0.45,0.451,0.4,0.455,0.8,0.522
74,Elden Campbell\campbel01,23,LAL,NBA,1991-92,81,47,23.2,2.7,6.1,2.7,6,0,0,1.7,2.8,1.9,3.3,5.2,0.7,0.7,2,0.9,2.5,7.1,0.448,0.45,0,0.448,0.619,0.491
75,Duane Causwell\causwdu01,23,SAC,NBA,1991-92,80,77,28.6,3.1,5.7,3.1,5.7,0,0,1.7,2.8,2.5,4.8,7.3,0.7,0.6,2.7,1.6,3.5,8,0.549,0.551,0,0.549,0.613,0.575
76,Cedric Ceballos\cebalce01,22,PHO,NBA,1991-92,64,4,11.3,2.8,5.7,2.7,5.6,0,0.1,1.7,2.3,0.9,1.4,2.4,0.8,0.3,0.2,1.1,0.8,7.2,0.482,0.487,0.167,0.484,0.736,0.537
77,Derrick Coleman\colemde01,24,NJN,NBA,1991-92,65,58,34,7.4,14.7,7.1,13.6,0.4,1.2,4.6,6,3.1,6.4,9.5,3.2,0.8,1.5,3.8,2.6,19.8,0.504,0.522,0.303,0.516,0.763,0.57
78,Bimbo Coles\colesbi01,23,MIA,NBA,1991-92,81,28,24.4,3.6,8,3.5,7.4,0.1,0.6,2.7,3.2,0.9,1.5,2.3,4.5,0.9,0.2,2.1,1.9,10.1,0.455,0.477,0.192,0.462,0.824,0.534
79,Anthony Cook\cookan01,24,DEN,NBA,1991-92,22,0,5.2,0.7,1.1,0.7,1.1,0,0,0.2,0.3,0.6,1,1.5,0.1,0.2,0.2,0.1,0.5,1.5,0.6,0.6,,0.6,0.667,0.615
80,Lanard Copeland\copella01,26,LAC,NBA,1991-92,10,0,4.8,0.7,2.3,0.7,2.1,0,0.2,0.2,0.2,0.1,0.6,0.7,0.5,0.2,0,0.4,0.5,1.6,0.304,0.333,0,0.304,1,0.335
81,Mario Elie\eliema01,28,GSW,NBA,1991-92,79,32,21.2,2.8,5.4,2.5,4.5,0.3,0.9,2,2.3,0.9,2,2.9,2.2,0.9,0.2,1.1,2,7.8,0.521,0.559,0.329,0.548,0.852,0.615
82,A.J. English\engliaj01,24,WSB,NBA,1991-92,81,6,20.6,4.5,10.4,4.4,10,0.1,0.4,1.8,2.2,0.9,1.2,2.1,1.8,0.4,0.1,1.1,2,10.9,0.433,0.443,0.176,0.436,0.841,0.48
83,Danny Ferry\ferryda01,25,CLE,NBA,1991-92,68,1,13.8,2,4.8,1.7,4.1,0.3,0.7,0.9,1.1,0.8,2.4,3.1,1.1,0.3,0.2,0.7,2,5.1,0.409,0.418,0.354,0.434,0.836,0.48
84,Greg Foster\fostegr01,23,WSB,NBA,1991-92,49,3,11.2,1.8,3.9,1.8,3.9,0,0,0.7,1,0.9,2.1,3,0.7,0.1,0.2,0.7,1.7,4.3,0.461,0.464,0,0.461,0.714,0.496
85,Tate George\georgta01,23,NJN,NBA,1991-92,70,2,14.8,2.4,5.5,2.3,5.4,0,0.1,1.2,1.5,0.5,1,1.5,2.3,0.6,0,1.2,1.4,6,0.427,0.432,0.167,0.429,0.821,0.483
86,Kendall Gill\gillke01,23,CHH,NBA,1991-92,79,79,36.8,8.4,18.1,8.4,17.7,0.1,0.3,3.6,4.8,2.1,3,5.1,4.2,1.9,0.6,2.3,3,20.5,0.467,0.471,0.24,0.469,0.745,0.509
87,Gerald Glass\glassge01,24,MIN,NBA,1991-92,75,41,24.3,5.1,11.6,4.9,10.9,0.2,0.7,1,1.7,1.4,2,3.5,2.3,0.9,0.4,1.4,2.3,11.5,0.44,0.449,0.296,0.449,0.616,0.464
88,Dan Godfread\godfrda01,24,HOU,NBA,1991-92,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
89,Ron Grandison\grandro01,27,CHH,NBA,1991-92,3,0,8.3,0.7,1.3,0.7,1.3,0,0,2,3.3,1,2.7,3.7,0.3,0.3,0.3,1,1.3,3.3,0.5,0.5,,0.5,0.6,0.595
90,Steve Henson\hensost01,23,MIL,NBA,1991-92,50,1,7.7,1,2.9,0.6,1.9,0.5,1,0.5,0.6,0.3,0.5,0.8,1.6,0.3,0,0.8,1,3,0.361,0.302,0.479,0.441,0.793,0.478
91,Sean Higgins\higgise01,23,TOT,NBA,1991-92,38,12,16.2,3.3,7.3,3.2,6.6,0.2,0.7,0.8,0.9,0.8,1.9,2.7,1.1,0.4,0.2,1.1,1.5,7.7,0.458,0.48,0.24,0.469,0.861,0.497
92,Tyrone Hill\hillty01,23,GSW,NBA,1991-92,82,75,23,3.1,5.9,3.1,5.9,0,0,2,2.9,2.2,5,7.2,0.6,0.9,0.5,1.3,3.8,8.2,0.522,0.523,0,0.522,0.694,0.568
93,Jaren Jackson\jacksja01,24,GSW,NBA,1991-92,5,0,10.8,2.2,4.6,2.2,4.6,0,0,0.8,1.2,1,1,2,0.6,0.4,0,0.8,1.4,5.2,0.478,0.478,,0.478,0.667,0.507
94,Dave Jamerson\jamerda01,24,HOU,NBA,1991-92,48,0,7.9,1.6,4,1.5,3.4,0.2,0.6,0.5,0.6,0.5,0.4,0.9,0.7,0.4,0,0.5,0.8,4,0.414,0.436,0.286,0.435,0.926,0.471
95,Henry James\jameshe01,26,CLE,NBA,1991-92,65,5,13.3,2.5,6.2,2.1,4.8,0.4,1.4,0.9,1.2,0.5,1.2,1.7,0.4,0.2,0.2,0.7,1.4,6.4,0.407,0.431,0.322,0.443,0.803,0.479
96,Les Jepsen\jepsele01,24,SAC,NBA,1991-92,31,0,2.8,0.3,0.8,0.3,0.7,0,0,0.2,0.4,0.4,0.6,1,0,0,0.2,0.1,0.5,0.8,0.375,0.391,0,0.375,0.636,0.433
97,Alec Kessler\kesslal01,25,MIA,NBA,1991-92,77,4,15.5,2.1,5,2.1,5,0,0,1.2,1.5,1.5,2.6,4.1,0.4,0.2,0.4,0.8,2.4,5.3,0.413,0.413,,0.413,0.817,0.473
98,Bo Kimble\kimblbo01,25,LAC,NBA,1991-92,34,0,8.1,1.3,3.3,1.2,2.9,0.1,0.4,0.6,0.9,0.4,0.6,0.9,0.5,0.3,0.2,0.4,1.1,3.3,0.396,0.408,0.308,0.414,0.645,0.449
99,Negele Knight\knighne01,24,PHO,NBA,1991-92,42,1,15,2.5,5.2,2.4,4.9,0.1,0.3,0.8,1.1,0.4,0.7,1.1,2.7,0.6,0.1,1.4,1.4,5.8,0.475,0.485,0.308,0.484,0.688,0.51
100,Marcus Liberty\liberma01,23,DEN,NBA,1991-92,75,13,20.4,3.7,8.3,3.4,7.6,0.2,0.7,1.7,2.4,1.9,2.2,4.1,0.8,0.9,0.4,1.2,2.2,9.3,0.443,0.452,0.34,0.457,0.728,0.498
101,Tony Massenburg\masseto01,24,TOT,NBA,1991-92,18,0,5,0.6,1.4,0.6,1.4,0,0,0.5,0.8,0.4,1,1.4,0,0.1,0.1,0.5,1.2,1.6,0.4,0.4,,0.4,0.6,0.459
102,Travis Mays\maystr01,23,ATL,NBA,1991-92,2,0,16,3,7,1.5,4,1.5,3,1,1,0.5,0.5,1,0.5,0,0,1.5,2,8.5,0.429,0.375,0.5,0.536,1,0.571
103,Bob McCann\mccanbo01,27,DET,NBA,1991-92,26,0,5,0.5,1.3,0.5,1.2,0,0,0.2,0.5,0.5,0.7,1.2,0.2,0.2,0.2,0.3,0.9,1.2,0.394,0.406,0,0.394,0.308,0.387
104,Carlton McKinney\mckinca01,27,NYK,NBA,1991-92,2,0,4.5,1,4.5,1,4.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,2,0.222,0.222,,0.222,,0.222
105,Terry Mills\millste01,24,NJN,NBA,1991-92,82,24,20.9,3.8,8.2,3.7,7.9,0.1,0.3,1.4,1.9,2.3,3.2,5.5,1,0.6,0.5,1,2.4,9,0.463,0.467,0.348,0.469,0.75,0.503
