GS_PCT,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,ALL_STAR,ALL_NBA
0.0,4.1,0.6,1.5,0.6,1.5,0.0,0.0,0.6,1.0,0.4,0.6,1.0,0.5,0.1,0.0,0.5,0.3,1.8,.375,.375,0,.375,.650,0,0
0.01,7.4,0.8,1.9,0.7,1.3,0.1,0.5,0.3,0.4,0.2,0.6,0.8,0.8,0.3,0.1,0.4,0.9,2.0,.436,.508,.253,.472,.667,0,0
0.38,23.2,2.8,5.9,2.8,5.9,0.0,0.1,1.4,2.3,2.2,3.2,5.4,1.4,1.1,0.3,1.4,2.5,6.9,.468,.471,.125,.469,.590,0,0
0.44,27.7,4.2,9.6,3.2,6.8,1.0,2.8,1.8,2.1,0.5,2.1,2.6,3.7,1.3,0.3,1.5,2.1,11.1,.436,.469,.357,.488,.825,0,0
0.04,11.7,1.3,3.1,1.0,2.1,0.4,1.0,0.3,0.4,0.6,1.2,1.8,0.8,0.4,0.2,0.4,1.0,3.3,.433,.464,.366,.492,.633,0,0
0.13,14.4,2.0,4.7,1.0,2.2,1.0,2.5,0.4,0.5,0.5,1.5,2.0,0.9,0.3,0.2,0.5,1.3,5.3,.418,.458,.384,.521,.768,0,0
0.37,21.1,3.4,8.1,3.0,6.8,0.4,1.3,2.9,3.7,1.0,1.9,2.9,1.2,0.6,0.4,1.6,2.7,10.3,.424,.439,.345,.452,.786,0,0
0.64,24.7,3.9,8.5,3.9,8.4,0.0,0.0,2.6,3.7,1.8,4.1,5.9,1.1,0.7,1.5,1.3,2.9,10.3,.460,.461,.054,.460,.699,0,0
0.48,17.4,1.9,3.8,1.9,3.7,0.0,0.0,1.1,1.8,1.5,2.7,4.2,0.4,0.4,1.4,0.9,2.7,4.9,.507,.508,.286,.508,.618,0,0
0.51,24.2,5.6,11.2,5.2,10.0,0.4,1.2,2.7,3.6,2.1,3.3,5.3,1.2,0.7,0.3,1.6,1.8,14.3,.500,.524,.309,.518,.753,1,0
0.86,33.2,5.9,13.2,5.5,11.8,0.4,1.4,4.3,5.5,2.7,6.6,9.3,2.5,0.8,1.3,2.6,2.6,16.5,.447,.465,.295,.462,.769,1,2
0.42,23.8,3.0,7.0,2.7,5.9,0.3,1.1,1.5,1.8,0.6,1.6,2.1,3.9,0.9,0.2,1.5,2.1,7.8,.425,.455,.267,.447,.811,0,0
0.22,12.9,1.4,3.3,1.4,3.2,0.0,0.1,0.7,1.4,1.5,2.2,3.7,0.3,0.4,0.8,0.6,1.2,3.6,.439,.446,.000,.439,.524,0,0
