,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
57,Duncan Robinson\robindu01,25,MIA,NBA,2019-20,65,60,30.0,4.4,9.4,0.7,1.1,3.7,8.4,0.7,0.8,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3,.467,.614,.448,.665,.906,.678
58,Jerome Robinson\robinje01,22,TOT,NBA,2019-20,55,4,13.6,1.4,3.9,0.8,2.0,0.6,1.9,0.4,0.5,0.2,1.8,1.9,1.2,0.4,0.3,0.6,1.5,3.7,.347,.393,.298,.419,.690,.439
59,Mitchell Robinson\robinmi01,21,NYK,NBA,2019-20,61,7,23.1,4.1,5.6,4.1,5.6,0.0,0.0,1.4,2.4,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,9.7,.742,.742,,.742,.568,.726
60,Collin Sexton\sextoco01,21,CLE,NBA,2019-20,65,65,33.0,7.9,16.7,6.4,12.8,1.5,3.9,3.5,4.1,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,.472,.501,.380,.517,.846,.560
61,Landry Shamet\shamela01,22,LAC,NBA,2019-20,47,27,27.5,3.1,7.5,0.9,1.8,2.2,5.7,1.2,1.3,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.8,9.7,.416,.494,.392,.566,.905,.599
62,Anfernee Simons\simonan01,20,POR,NBA,2019-20,65,4,21.5,3.2,8.1,2.1,4.7,1.1,3.4,1.2,1.4,0.4,1.9,2.3,1.5,0.4,0.2,0.9,2.0,8.8,.402,.448,.338,.472,.826,.506
63,Zhaire Smith\smithzh01,20,PHI,NBA,2019-20,7,0,4.6,0.4,1.6,0.4,1.1,0.0,0.4,0.3,0.6,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1,.273,.375,.000,.273,.500,.313
64,Omari Spellman\spellom01,22,GSW,NBA,2019-20,49,3,18.1,2.6,6.0,1.7,3.8,0.9,2.2,1.5,1.9,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6,.431,.454,.391,.503,.793,.551
65,Khyri Thomas\thomakh01,23,DET,NBA,2019-20,8,0,7.6,0.6,2.1,0.0,0.4,0.6,1.8,0.3,0.5,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1,2.1,.294,.000,.357,.441,.500,.453
66,Gary Trent\trentga02,21,POR,NBA,2019-20,53,8,20.0,2.8,6.6,1.3,2.8,1.5,3.8,0.6,0.7,0.4,1.3,1.7,0.9,0.7,0.2,0.4,1.3,7.7,.426,.477,.388,.537,.833,.555
67,Allonzo Trier\trieral01,24,NYK,NBA,2019-20,24,1,12.1,2.1,4.4,1.3,2.2,0.8,2.2,1.4,1.8,0.3,1.0,1.2,1.2,0.1,0.2,0.9,1.2,6.5,.481,.604,.358,.571,.791,.620
68,Jarrod Uthoff\uthofja01,26,MEM,NBA,2019-20,4,0,3.5,0.3,1.8,0.3,0.8,0.0,1.0,0.5,0.5,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.0,.143,.333,.000,.143,1.000,.254
69,Jarred Vanderbilt\vandeja01,20,TOT,NBA,2019-20,11,0,4.2,0.5,0.7,0.5,0.6,0.0,0.1,0.2,0.2,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,.625,.714,.000,.625,1.000,.676
70,Moritz Wagner\wagnemo01,22,WAS,NBA,2019-20,37,5,19.1,3.5,6.2,2.9,4.4,0.6,1.8,1.8,2.2,1.4,3.8,5.2,1.3,0.6,0.5,1.5,3.6,9.5,.575,.671,.343,.625,.817,.666
71,Lonnie Walker\walkelo01,21,SAS,NBA,2019-20,53,4,14.5,2.2,5.0,1.6,3.7,0.5,1.3,0.7,1.0,0.4,1.8,2.2,0.9,0.5,0.2,0.6,1.3,5.6,.434,.444,.408,.489,.717,.515
72,Derrick Walton\waltode01,24,TOT,NBA,2019-20,26,1,9.5,0.7,1.5,0.3,0.6,0.4,0.9,0.3,0.3,0.1,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.0,.462,.533,.417,.590,.778,.617
73,Brad Wanamaker\wanambr01,30,BOS,NBA,2019-20,63,1,19.3,2.2,5.0,1.6,3.6,0.5,1.4,1.7,1.8,0.3,1.7,2.0,2.5,0.8,0.2,1.1,1.9,6.6,.428,.452,.367,.480,.931,.560
74,Yuta Watanabe\watanyu01,25,MEM,NBA,2019-20,16,0,6.2,0.8,1.8,0.6,1.3,0.2,0.5,0.2,0.5,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.6,1.9,.414,.429,.375,.466,.375,.461
75,Johnathan Williams\willijo04,24,WAS,NBA,2019-20,11,5,12.3,1.5,2.3,1.5,2.1,0.0,0.2,0.3,0.5,1.4,2.5,3.9,0.5,0.1,0.5,0.4,1.0,3.2,.640,.696,.000,.640,.600,.643
76,Kenrich Williams\willike04,25,NOP,NBA,2019-20,35,18,22.3,1.4,4.1,0.7,1.3,0.7,2.7,0.3,0.7,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8,.343,.511,.260,.430,.375,.430
77,Robert Williams\williro04,22,BOS,NBA,2019-20,23,1,14.0,1.8,2.7,1.8,2.7,0.0,0.0,0.6,1.1,1.5,3.2,4.7,1.0,0.9,1.2,0.9,1.7,4.3,.677,.677,,.677,.560,.671
78,Trae Young\youngtr01,21,ATL,NBA,2019-20,60,60,35.3,9.1,20.8,5.7,11.4,3.4,9.5,8.0,9.3,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,.437,.501,.361,.519,.860,.595
